"","Player","G","GS","MP","FG","FGA","FG%","2P","2PA","2P%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","school"
"1","Bennedict Mathurin",37,37,32.5,5.9,13.1,0.45,3.6,7,0.521,2.2,6.1,0.369,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1,0.3,1.8,1.8,17.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"2","Azuolas Tubelis",36,35,24.6,5.4,10.1,0.54,5.2,9,0.572,0.3,1.1,0.263,2.7,4,0.669,1.9,4.3,6.2,2.3,1.1,0.7,2.1,1.9,13.9,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"3","Christian Koloko",37,37,25.4,4.9,7.8,0.635,4.9,7.7,0.642,0,0.1,0,2.7,3.7,0.735,2.6,4.7,7.3,1.4,0.8,2.8,1.6,2.8,12.6,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"4","Kerr Kriisa",33,31,29.5,3,8.7,0.348,0.6,1.5,0.408,2.4,7.2,0.336,1.2,1.5,0.816,0.5,2,2.5,4.7,0.6,0.1,2.2,1.8,9.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"5","Dalen Terry",37,37,27.8,3.1,6.2,0.502,2.4,4.1,0.572,0.8,2.1,0.364,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"6","Pelle Larsson",37,2,20.7,2.3,4.9,0.478,1.4,2.4,0.596,0.9,2.5,0.363,1.6,2,0.813,0.8,2.6,3.4,1.8,0.8,0.2,1.5,2.5,7.2,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"7","Oumar Ballo",37,0,15.2,2.5,4,0.622,2.5,4,0.622,0,0,NA,1.8,2.6,0.701,1.6,2.8,4.4,0.6,0.4,1.2,0.9,1.6,6.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"8","Justin Kier",37,6,20.1,2.4,5.4,0.443,1.5,2.8,0.519,0.9,2.6,0.361,1.1,1.3,0.83,0.3,2.8,3.1,2.2,0.6,0,1.4,1.3,6.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"9","Kim Aiken",7,0,13.6,1.9,3.9,0.481,0.6,1.6,0.364,1.3,2.3,0.563,0,0.3,0,1.1,2.3,3.4,2,1,0.3,0.4,1.1,5,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"10","Adama Bal",23,0,4.5,0.6,1.2,0.481,0.2,0.4,0.5,0.3,0.7,0.471,0,0.1,0,0.1,0.3,0.4,0.4,0.1,0,0.3,0.4,1.5,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"11","Shane Nowell",19,0,3.5,0.3,0.9,0.333,0.3,0.7,0.385,0.1,0.3,0.2,0.1,0.1,1,0,0.8,0.8,0.3,0.2,0.1,0.4,0.5,0.8,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"12","Jordan Mains",15,0,2,0.2,0.5,0.429,0.2,0.3,0.75,0,0.2,0,0.3,0.4,0.667,0.3,0.5,0.8,0,0.1,0,0.1,0.3,0.7,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"13","Tautvilas Tubelis",14,0,1.7,0.1,0.5,0.286,0.1,0.3,0.5,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.3,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"14","Grant Weitman",16,0,1.6,0.1,0.2,0.333,0.1,0.1,1,0,0.1,0,0,0,NA,0.1,0.1,0.2,0,0,0,0.1,0.2,0.1,"https://www.sports-reference.com/cbb/schools/arizona/2022.html"
"15","Johnny Juzang",30,29,31.8,6,13.8,0.432,4.5,9.6,0.464,1.5,4.2,0.36,2.2,2.6,0.835,0.8,4,4.7,1.8,0.7,0.1,1.6,2,15.6,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"16","Jaime Jaquez",34,34,30.5,5.1,10.9,0.472,4.5,8.7,0.522,0.6,2.2,0.276,3,3.9,0.761,1.7,4,5.7,2.3,1.1,0.3,1.4,1.6,13.9,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"17","Jules Bernard",35,34,30.1,4.2,10,0.419,2.6,5.3,0.492,1.6,4.7,0.337,2.8,3.5,0.818,0.8,3.9,4.7,1.7,1,0.2,1,1.7,12.8,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"18","Tyger Campbell",33,33,32.4,4.2,9.4,0.444,2.7,5.7,0.466,1.5,3.7,0.41,2,2.4,0.838,0.4,2.1,2.5,4.3,1,0.1,1.3,1.9,11.9,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"19","Cody Riley",26,20,21.6,2.7,5.9,0.464,2.6,5.6,0.462,0.2,0.3,0.5,1.7,2.5,0.672,1.1,2.8,3.9,1,0.7,0.4,0.9,2.5,7.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"20","Jaylen Clark",29,6,18.1,2.8,5.5,0.506,2.6,4.6,0.556,0.2,0.9,0.259,0.9,1.7,0.542,1.6,2.2,3.8,1,1.1,0.2,0.7,1.9,6.7,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"21","David Singleton",33,4,16.7,1.7,3.5,0.479,0.6,1.1,0.543,1.1,2.5,0.451,0.3,0.5,0.6,0.3,1.2,1.5,0.9,0.5,0.2,0.3,1.1,4.8,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"22","Myles Johnson",35,15,18.1,1.5,2.3,0.63,1.5,2.3,0.63,0,0,NA,0.7,1.3,0.533,2.5,2.9,5.4,0.7,0.6,1.3,1,2.1,3.6,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"23","Peyton Watson",32,0,12.7,1.2,3.7,0.322,1,2.7,0.356,0.2,1,0.226,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,0.9,1.6,3.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"24","Jake Kyman",23,0,8,0.9,2.3,0.37,0.5,1,0.478,0.4,1.3,0.29,0.3,0.3,1,0.2,0.9,1,0.5,0.2,0,0.1,0.6,2.4,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"25","Kenneth Nwuba",20,0,6.4,0.5,0.8,0.667,0.5,0.8,0.667,0,0,NA,0.2,0.4,0.5,0.4,0.6,0.9,0.2,0.1,0.3,0.4,1.2,1.2,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"26","Russell Stong",12,0,1.8,0.1,0.3,0.333,0,0,NA,0.1,0.3,0.333,0,0,NA,0,0.3,0.3,0.1,0,0,0.3,0.3,0.3,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"27","Logan Cremonesi",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/ucla/2022.html"
"28","Isaiah Mobley",32,32,34.1,5,11.3,0.445,3.7,7.5,0.492,1.3,3.8,0.352,2.8,4,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2,14.2,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"29","Boogie Ellis",33,33,29.8,4.3,10.4,0.417,2.6,5.9,0.448,1.7,4.5,0.376,2.2,2.7,0.798,0.5,2.8,3.3,2.4,0.8,0.2,1.8,2.2,12.5,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"30","Drew Peterson",34,34,33,4.4,9.4,0.467,2.9,5.9,0.5,1.4,3.5,0.412,2.2,3.1,0.717,1.1,5.1,6.2,3.3,0.7,0.8,2.4,1.6,12.4,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"31","Chevez Goodwin",34,34,24.5,4.8,8.4,0.57,4.8,8.4,0.57,0,0,NA,1.4,3.1,0.471,2.7,3.8,6.4,0.6,0.4,0.5,1.7,2.5,11,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"32","Max Agbonkpolo",33,18,21.4,2.9,6.4,0.455,2.1,3.6,0.583,0.8,2.8,0.286,1.1,1.5,0.714,0.8,2.7,3.5,0.7,0.5,0.5,1.3,1.8,7.7,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"33","Reese Waters",33,0,13.8,1.5,3.4,0.441,0.8,1.8,0.426,0.7,1.5,0.46,1.2,1.3,0.864,0.6,1.2,1.8,0.5,0.4,0.2,0.6,1.4,4.8,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"34","Ethan Anderson",34,15,21.1,1.9,4.7,0.391,1.4,3.2,0.426,0.5,1.6,0.321,0.2,0.6,0.364,0.4,1.9,2.3,2.2,0.5,0.3,0.9,1.4,4.4,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"35","Joshua Morgan",31,0,12.4,1.4,2.5,0.545,1.4,2.5,0.545,0,0,NA,0.5,0.8,0.538,1.1,1.8,2.9,0.4,0.1,0.9,0.5,1.5,3.2,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"36","Amar Ross",1,0,1,1,1,1,0,0,NA,1,1,1,0,0,NA,0,2,2,0,0,0,0,0,3,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"37","Isaiah White",24,4,11,0.9,3,0.31,0.7,1.7,0.39,0.3,1.3,0.2,0.9,1.4,0.618,0.5,1.7,2.2,0.5,0.5,0.1,0.6,1,3,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"38","Boubacar Coulibaly",6,0,3.8,0.5,0.8,0.6,0.5,0.8,0.6,0,0,NA,0.7,1,0.667,0.7,1,1.7,0.3,0,0.3,0,0.3,1.7,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"39","Harrison Hornery",12,0,4.4,0.6,1.4,0.412,0.2,0.3,0.5,0.4,1.1,0.385,0,0,NA,0.2,0.8,0.9,0.1,0.2,0.1,0.3,0.4,1.6,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"40","Kobe Johnson",27,0,7.5,0.4,1.3,0.324,0.3,0.7,0.35,0.1,0.5,0.286,0.2,0.3,0.75,0.2,0.8,1,0.8,0.6,0.2,0.5,0.7,1.2,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"41","Malik Thomas",9,0,2,0.1,0.7,0.167,0.1,0.4,0.25,0,0.2,0,0.1,0.2,0.5,0,0.1,0.1,0.1,0.1,0,0.3,0.3,0.3,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"42","Zach Brooker",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"43","Reggie Parris",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,"https://www.sports-reference.com/cbb/schools/southern-california/2022.html"
"44","Jabari Walker",33,33,28.1,4.8,10.5,0.461,3.8,7.4,0.51,1.1,3.2,0.346,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"45","Evan Battey",33,33,28.5,4.5,9.1,0.502,3.3,6.5,0.507,1.3,2.6,0.488,2,2.6,0.759,1.6,3.1,4.7,1.2,0.6,0.5,1.4,2.3,12.4,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"46","Keeshawn Barthelemy",33,28,25.8,3.7,8.9,0.42,2.4,5.1,0.473,1.3,3.8,0.347,2.3,2.8,0.826,0.4,2,2.4,2.4,0.6,0.2,1.3,1.1,11.1,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"47","Tristan Da Silva",31,31,28.3,3.4,7,0.479,2.5,4.6,0.535,0.9,2.4,0.373,1.8,2.2,0.797,1.2,2.4,3.5,2,0.6,0.5,1.8,2.4,9.4,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"48","KJ Simpson",32,1,21.3,2.4,6.4,0.377,1.9,4.3,0.438,0.5,2.1,0.254,2.1,2.7,0.77,0.4,2.2,2.5,2.7,0.8,0.1,2.2,1.4,7.4,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"49","Elijah Parquet",18,17,29.5,2.4,5.4,0.443,1.9,3.4,0.574,0.4,2,0.222,1.7,2.2,0.75,0.6,1.8,2.4,1.4,0.8,0.7,1.1,2.1,6.9,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"50","Nique Clifford",33,17,23.1,2.5,5.5,0.453,1.8,3.7,0.479,0.7,1.8,0.4,1,1.5,0.667,0.9,3.7,4.6,1.3,0.6,0.7,1.4,1.8,6.7,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"51","Julian Hammond III",29,5,12.4,0.9,2.7,0.351,0.3,1.2,0.278,0.6,1.4,0.415,0.4,0.6,0.722,0.3,1.4,1.7,1.1,0.6,0.1,0.9,0.7,2.9,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"52","Luke O'Brien",33,0,14.2,1,2.3,0.44,0.6,1.5,0.429,0.4,0.8,0.462,0.3,0.5,0.529,0.9,1.8,2.8,0.8,0.4,0.1,0.6,1.4,2.6,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"53","Lawson Lovering",18,0,10.7,0.7,2.4,0.302,0.7,2.4,0.302,0,0,NA,0.4,1,0.444,0.6,1.3,1.9,0.6,0.4,0.2,0.9,1.8,1.9,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"54","Will Loughlin",9,0,4.9,0.4,1,0.444,0.4,1,0.444,0,0,NA,0.1,0.2,0.5,0.1,0.4,0.6,0,0.1,0,0.2,0.3,1,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"55","Jack Pease",2,0,2,0.5,1,0.5,0.5,1,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0.5,1,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"56","Benan Ersek",2,0,3,0,1,0,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,0,0.5,0,0.5,0,0,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"57","Cody Mains",2,0,1.5,0,0.5,0,0,0.5,0,0,0,NA,0,0,NA,0.5,0.5,1,0,0,0,0.5,0.5,0,"https://www.sports-reference.com/cbb/schools/colorado/2022.html"
"58","Michael Flowers",37,37,32.5,4.5,11.4,0.4,1.8,4,0.456,2.7,7.3,0.369,2.4,2.8,0.854,0.5,2.7,3.2,3.4,1.1,0.1,1.8,1.5,14.2,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"59","Tyrell Roberts",36,31,29.3,3.9,10.9,0.355,1.6,4.2,0.371,2.3,6.7,0.344,1.4,1.5,0.925,0.4,2.2,2.6,2,0.7,0,1.5,2.1,11.4,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"60","Noah Williams",35,25,25.7,3.2,9.5,0.332,2.4,6.6,0.364,0.8,2.9,0.262,2.4,3.3,0.716,0.9,2.2,3.1,2.2,1.1,0.3,1.8,2.6,9.5,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"61","Efe Abogidi",37,29,20.9,2.9,5.7,0.51,2.6,4.6,0.573,0.2,1.1,0.231,2,2.6,0.789,2.3,3.5,5.8,0.6,0.9,1.8,1,2,8.1,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"62","TJ Bamba",32,16,20.9,2.4,6.3,0.384,1.4,3.6,0.404,1,2.8,0.36,1.8,2.3,0.784,1.1,2.3,3.4,0.7,0.8,0.3,1.1,2.1,7.7,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"63","Mouhamed Gueye",35,33,21.9,3.1,6.3,0.491,2.9,5.6,0.518,0.2,0.7,0.28,0.9,1.9,0.493,2,3.1,5.2,0.5,0.8,0.9,1,2.7,7.4,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"64","Dishon Jackson",25,6,16.3,2.2,4,0.55,2.2,4,0.556,0,0,0,1.6,2.6,0.625,1.4,2.6,4.1,0.4,0.2,1.2,0.8,2.1,6,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"65","Andrej Jakimovski",37,5,18.9,1.8,4.6,0.386,0.6,1.5,0.393,1.2,3.1,0.383,0.6,0.9,0.719,1.2,2.7,3.9,0.8,0.5,0.1,0.8,1.6,5.4,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"66","DJ Rodman",35,2,19.4,1.4,3.4,0.42,0.9,1.5,0.608,0.5,1.9,0.279,0.8,1,0.806,1.6,2.5,4.1,0.9,0.4,0.2,0.6,1.4,4.2,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"67","Jefferson Koulibaly",16,0,8.3,0.9,2.6,0.357,0.6,1.4,0.409,0.4,1.3,0.3,0.4,0.7,0.545,0.3,0.6,0.9,0.5,0.4,0,0.9,0.9,2.6,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"68","Ryan Rapp",16,0,4.6,0.3,1.1,0.235,0.1,0.1,0.5,0.2,0.9,0.2,0.5,0.5,1,0,0.8,0.8,0.2,0.1,0.1,0.3,0.3,1.2,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"69","Matt DeWolf",19,1,3.2,0.3,0.4,0.714,0.3,0.3,0.833,0,0.1,0,0.3,0.5,0.556,0.2,0.4,0.5,0.1,0.2,0.1,0.2,0.4,0.8,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"70","Will Burghardt",8,0,0.9,0.1,0.3,0.5,0,0.1,0,0.1,0.1,1,0,0,NA,0,0,0,0,0,0,0.3,0,0.4,"https://www.sports-reference.com/cbb/schools/washington-state/2022.html"
"71","Will Richardson",30,30,32.3,4.9,10.9,0.454,3,6,0.508,1.9,4.9,0.388,2.4,3.1,0.772,0.9,2.8,3.7,3.6,1.3,0,2.1,2.4,14.1,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"72","Jacob Young",35,31,30.4,4.6,11,0.422,3.9,8.1,0.481,0.7,2.9,0.257,2,3,0.676,0.5,2.4,2.9,3.4,1.3,0.1,2.2,1.7,12,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"73","De'Vion Harmon",35,34,31.4,3.8,9.2,0.415,2.4,5.3,0.451,1.5,4,0.367,1.7,2.3,0.734,0.4,2.2,2.6,2.1,1.3,0.1,1.5,1.6,10.8,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"74","Quincy Guerrier",35,35,26.5,3.4,8.2,0.42,1.9,3.6,0.535,1.5,4.5,0.327,1.7,2.7,0.642,1.7,3.6,5.3,0.8,0.7,0.3,1.2,2.3,10.1,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"75","Eric Williams",33,11,26.8,3,8.1,0.376,1.8,4.6,0.395,1.2,3.5,0.351,1.1,1.6,0.679,1,3.6,4.6,1.2,1.1,0.1,1.2,2.2,8.4,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"76","N'Faly Dante",32,27,20,3.4,5.1,0.675,3.4,5.1,0.675,0,0,NA,1.3,2.1,0.588,2.2,4.1,6.3,0.7,0.7,1,1.5,1.8,8.1,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"77","Franck Kepnang",35,5,14.5,2,3.4,0.575,2,3.4,0.575,0,0,NA,0.8,1.2,0.651,1.1,2,3.1,0.1,0.3,1.2,0.9,2.4,4.7,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"78","Rivaldo Soares",35,2,18.2,1.7,4,0.432,1.2,1.9,0.603,0.5,2,0.268,0.8,1.1,0.711,0.8,1.9,2.7,0.7,0.2,0.2,0.7,1.3,4.7,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"79","Isaac Johnson",14,0,5.4,1,1.6,0.609,1,1.6,0.636,0,0.1,0,0.4,0.6,0.556,0.3,0.9,1.1,0.2,0,0,0.6,1.4,2.4,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"80","Nathan Bittle",23,0,6.9,0.7,1.3,0.5,0.6,1.1,0.56,0,0.2,0.2,0.4,0.7,0.529,0.6,1.3,1.9,0.2,0.2,0.7,0.3,1.3,1.7,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"81","Lok Wur",12,0,4.3,0.3,0.9,0.273,0.1,0.3,0.25,0.2,0.6,0.286,0.3,0.3,0.75,0,0.7,0.7,0.2,0.1,0.3,0.1,0.3,0.9,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"82","Gabe Reichle",12,0,2.1,0.1,0.3,0.333,0,0,NA,0.1,0.3,0.333,0.2,0.2,1,0.1,0.3,0.3,0.3,0,0,0.1,0.1,0.4,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"83","James Coopers",1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,1,0,0,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"84","Brady Parris",4,0,1.3,0,0.3,0,0,0,NA,0,0.3,0,0,0,NA,0,0,0,0,0.3,0,0,0,0,"https://www.sports-reference.com/cbb/schools/oregon/2022.html"
"85","Terrell Brown",32,32,36.1,8,17.8,0.452,7.7,15.9,0.481,0.4,1.9,0.2,5.3,6.8,0.772,1.2,3,4.2,4.3,2.2,0.5,2.4,1.5,21.7,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"86","Emmitt Matthews",31,31,32,4,9.2,0.434,2.7,5.4,0.503,1.3,3.8,0.336,2.4,3.2,0.755,1.5,3.2,4.7,0.6,0.6,0.5,1.5,1.7,11.7,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"87","Jamal Bey",31,31,30.3,3.1,9.1,0.336,1.6,4.5,0.357,1.5,4.6,0.315,1.8,2.5,0.724,1,3.1,4.1,0.9,1.3,0.7,1.5,2.2,9.4,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"88","PJ Fuller",32,7,22.5,2.5,6.2,0.397,1.4,3,0.474,1,3.2,0.324,1.5,2,0.723,0.3,1.7,1.9,1.1,1.1,0.3,1.9,2.1,7.4,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"89","Daejon Davis",26,24,28.6,2.4,6.8,0.35,1.4,3.5,0.4,1,3.3,0.299,1.2,1.8,0.696,0.5,2.3,2.8,2.8,2,0.5,1.8,2.5,7,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"90","Nate Roberts",32,32,23.1,2.3,4.6,0.5,2.3,4.6,0.5,0,0,NA,1,2.2,0.443,3.1,4.3,7.5,0.3,0.7,0.7,1.2,3.2,5.5,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"91","Cole Bajema",32,1,19.5,1.7,4.9,0.335,0.7,2,0.333,1,3,0.337,1.1,1.4,0.739,0.3,1.5,1.9,0.5,0.4,0.2,0.7,1.4,5.4,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"92","Langston Wilson",28,2,9.9,0.9,2.1,0.417,0.7,1.6,0.432,0.2,0.6,0.375,0.6,1,0.593,1.1,1.5,2.6,0.1,0.3,0.4,0.4,1.9,2.6,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"93","Riley Sorn",15,0,6,1,1.2,0.833,1,1.2,0.833,0,0,NA,0.1,0.2,0.667,0.5,1.2,1.7,0.1,0.1,0.7,0.3,0.8,2.1,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"94","Jackson Grant",25,0,6.5,0.4,1,0.375,0.4,0.8,0.474,0,0.2,0,0.4,0.6,0.563,0.5,1,1.5,0.1,0.2,0.3,0.4,0.8,1.1,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"95","Dominiq Penn",6,0,1.5,0.3,0.7,0.5,0,0.2,0,0.3,0.5,0.667,0,0,NA,0,0.2,0.2,0.2,0.2,0,0.3,0,1,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"96","Samuel Ariyibi",4,0,2.5,0.3,0.5,0.5,0,0,NA,0.3,0.5,0.5,0,0,NA,0,0,0,0,0.5,0.3,0.8,0.3,0.8,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"97","Noah Neubauer",5,0,1,0.2,0.2,1,0,0,NA,0.2,0.2,1,0,0,NA,0,0.4,0.4,0,0,0,0.4,0.2,0.6,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"98","Reagan Lundeen",6,0,1,0,0.2,0,0,0.2,0,0,0,NA,0.2,0.7,0.25,0,0.3,0.3,0,0,0,0,0,0.2,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"99","Anthony Iglesia",2,0,1,0,0.5,0,0,0,NA,0,0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"100","Kyle Luttinen",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/washington/2022.html"
"101","DJ Horne",30,28,30,4.5,11.4,0.393,2,4.6,0.442,2.4,6.8,0.36,1.2,1.3,0.897,0.4,2.5,2.9,1.9,0.6,0,1.6,2.5,12.5,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"102","Jay Heath",28,17,28.4,3.8,8.9,0.423,2.1,5,0.418,1.6,3.8,0.43,1.4,1.9,0.741,0.5,2.8,3.3,1.8,0.8,0,1.5,1.5,10.6,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"103","Marreon Jackson",31,17,28.6,3.5,9.6,0.361,1.9,4.1,0.476,1.5,5.6,0.277,1.9,2.4,0.808,0.6,3.2,3.9,4,1.7,0,2.3,2.1,10.4,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"104","Kimani Lawrence",30,30,28.8,4.4,8.3,0.528,4.4,8.2,0.53,0,0,0,1.3,2.5,0.541,2.2,4.2,6.3,1.4,0.8,0.9,1.7,2.4,10.1,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"105","Marcus Bagley",3,3,22.7,3.3,8.7,0.385,1.7,4.3,0.385,1.7,4.3,0.385,1.7,2.3,0.714,1.3,2.7,4,1.3,0.3,0,2,1,10,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"106","Jalen Graham",29,22,23.5,4.3,8.8,0.486,4.2,8.2,0.519,0,0.6,0.056,1.3,2.5,0.528,1.2,3.3,4.6,1.7,0.8,0.9,1.8,2.9,9.9,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"107","Luther Muhammad",30,11,19.2,1.9,6.2,0.312,1.4,3.4,0.408,0.5,2.8,0.193,0.8,1,0.828,0.2,2.1,2.3,1.1,0.9,0,0.8,1.1,5.2,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"108","Alonzo Gaffney",30,24,21.6,1.8,4.1,0.434,1.3,2.4,0.521,0.5,1.6,0.306,0.1,0.4,0.364,1.2,2.3,3.6,0.9,0.4,1.3,0.5,3.3,4.2,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"109","Enoch Boakye",31,3,12.4,0.9,1.7,0.528,0.9,1.7,0.528,0,0,NA,0.2,0.7,0.304,1.2,2.3,3.5,0.2,0,0.9,0.8,1.9,2,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"110","Jamiya Neal",30,0,14.6,0.7,2.8,0.238,0.3,1.3,0.263,0.3,1.5,0.217,0.4,0.5,0.688,0.2,1.7,1.8,0.6,0.8,0.2,0.8,0.9,2,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
"111","Cade Ronzone",3,0,1,0.3,0.3,1,0.3,0.3,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0.7,"https://www.sports-reference.com/cbb/schools/arizona-state/2022.html"
